ProductType,ModelName,ModelFeatures,Price
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V1,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V2,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V3,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V4,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Nintendo Switch OLED V5,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V6,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V7,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V8,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V9,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V10,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V11,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V12,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V13,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Sony Alpha a7 III V14,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V15,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Nintendo Switch OLED V16,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V17,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V18,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V19,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Microsoft Xbox Series X V20,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V21,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Microsoft Xbox Series X V22,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V23,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V24,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Microsoft Xbox Series X V25,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V26,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V27,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V28,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V29,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V30,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V31,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V32,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Nintendo Switch OLED V33,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Nintendo Switch OLED V34,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V35,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V36,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V37,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V38,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V39,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V40,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Microsoft Xbox Series X V41,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V42,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
